Tag,Date,Followers
#perl,2023-06-11,762
#data,2023-06-11,6115765
#julialang,2023-06-11,897
#rstats,2023-06-11,9300
#shiny,2023-06-11,598
#r,2023-06-11,18637
#rprogramming,2023-06-11,1368
#julia,2023-06-11,402
#python,2023-06-11,571865
#rust,2023-06-11,2306
#pharma,2024-07-13,115675
#python,2024-07-13,579999
#appsilon,2024-07-13,8
#datasecurity,2024-07-13,30677
#dataviz,2024-07-13,17183
#tableau,2024-07-13,47497
#dataanalyst,2024-07-13,33403
#datascience,2024-07-13,833100
#drugdiscovery,2024-07-13,46540
#drugdevelopment,2024-07-13,35947
#oncology,2024-07-13,49645
#medicine,2024-07-13,8052564
#bankindustry,2024-07-13,13408982
#machinelearning,2024-07-13,1739017
#sql,2024-07-13,421766
#database,2024-07-13,381889
#linux,2024-07-13,453169
#banking,2024-07-13,287323
"#analytics",2024-07-12,6401384
"#ai",2024-07-12,635665
"#coding",2024-07-12,210637
"#codinglife",2024-07-12,2239
"#dashboard",2024-07-12,13685
"#datascience",2024-07-12,833079
"#data",2024-07-12,6095965
"#opensourcesoftware",2024-07-12,305935
"#r4ds",2024-07-12,72
"#tidytuesday",2024-07-12,733
"#ggplot2",2024-07-12,583
"#devops",2024-07-12,646379
"#cloudcomputing",2024-07-12,3848850
"#python",2024-07-12,579984
"#machinelearning",2024-07-12,1739001
"#rstudio",2024-07-12,5693
"#dataengineering",2024-07-12,52684
"#shiny",2024-07-12,640
"#rstats",2024-07-12,10057
"#user2024",2024-07-12,52
"#rlanguage",2024-07-12,164
"#rprogramming",2024-07-12,1726
"#statistics",2024-07-12,67926
"#tableau",2024-07-12,47494
"#softwaredevelopment",2024-07-12,66339
"#techcommunity",2024-07-12,3546
"#sql",2024-07-12,421762
"#BigData",2024-07-12,7065645
"#womenintech"2024-07-12,105191
#julialang,2024-07-13,982
#r,2024-07-13,19025
#scientificdata,2024-07-13,25
#juliacon,2024-07-13,58
#rstudio,2024-07-13,5693
#analytics,2024-07-13,6401390
#github,2024-07-13,70231
#tidyverse,2024-07-13,952
#rstats,2024-07-13,10063
#rsoftware,2024-07-13,25
#datadriven,2024-07-13,8311
#powerbi,2024-07-13,86597
#syntheticdata,2024-07-13,797
#azureml,2024-07-13,261
